Date,monthly_unique_customers
2021-04-30,34
2021-05-31,19
2021-06-30,19
2021-07-31,23
2021-08-31,16
2021-09-30,33
2021-10-31,16
2021-11-30,28
2021-12-31,81
2022-01-31,30
2022-02-28,23
2022-03-31,26
2022-04-30,21
2022-05-31,28
2022-06-30,29
2022-07-31,18
2022-08-31,18
2022-09-30,31
2022-10-31,25
2022-11-30,29
2022-12-31,48
2023-01-31,42
2023-02-28,30
2023-03-31,26
2023-04-30,22
2023-05-31,30
2023-06-30,22
2023-07-31,39
2023-08-31,16
2023-09-30,29
2023-10-31,21
2023-11-30,32
2023-12-31,84
2024-01-31,23
2024-02-29,27
2024-03-31,22
2024-04-30,21
2024-05-31,24
2024-06-30,27
2024-07-31,21
2024-08-31,12
2024-09-30,30
2024-10-31,31
2024-11-30,31
2024-12-31,45
