Date,revenue_over_time
2021-04-30,15100.0
2021-05-31,8262.0
2021-06-30,9317.0
2021-07-31,12347.0
2021-08-31,7771.0
2021-09-30,13468.0
2021-10-31,6826.0
2021-11-30,16714.0
2021-12-31,41530.0
2022-01-31,19938.0
2022-02-28,15573.0
2022-03-31,11283.0
2022-04-30,12162.0
2022-05-31,17932.0
2022-06-30,17617.0
2022-07-31,9228.0
2022-08-31,12755.0
2022-09-30,32952.0
2022-10-31,20530.0
2022-11-30,22945.0
2022-12-31,30637.0
2023-01-31,29729.0
2023-02-28,21130.0
2023-03-31,16112.0
2023-04-30,14050.0
2023-05-31,24350.0
2023-06-30,28306.0
2023-07-31,34661.0
2023-08-31,10942.0
2023-09-30,18259.0
2023-10-31,23185.0
2023-11-30,17794.0
2023-12-31,54995.0
2024-01-31,12602.0
2024-02-29,15209.0
2024-03-31,17175.0
2024-04-30,12940.0
2024-05-31,13222.0
2024-06-30,18202.0
2024-07-31,18870.0
2024-08-31,5815.0
2024-09-30,21315.0
2024-10-31,24972.0
2024-11-30,23590.0
2024-12-31,28667.0
